name,Image_URL,information,location,visiting_date,tickets
"
        The Temple of Bastet
    ","https://egymonuments.gov.eg/media/6980/eeee00.jpg?center=0.696078431372549,0.48026315789473684&mode=crop&width=645&height=423&rnd=132936344120000000","The temple of Bastet is one of the main cult temples of the goddess ""Bastet"" in the Old Kingdom, which was associated with fertility and often acted as a protective deity. Originally, Bastet was depicted as a lioness, and later as a cat.
According to the Greek historian ""Herodotus"" who visited “Per Bastet” in the 5th century BC, that despite other temples being more grandiose in appearance, none was more beautiful than the temple of ""Bastet"". This temple would have been surrounded by two channels and lined with trees, thus allowing a wonderful view of the city.
During the 22nd Dynasty, when Per Bastet became the capital of Egypt, the temple of Bastet was extended, and as a result, a lot of material from earlier structures was re-used. The oldest of these are two red granite blocks dating to the reign of the 4th Dynasty king Khufu (c.2589–2566 BC) and king Khafre (c.2558–2532 BC).
Additions to this temple were continued by the second king of the 22nd Dynasty, Osorkon I (c.924–889 BC), with his name appearing frequently at the entrance of the temple. The site contained a monumental gate beyond the peristyle courtyard. This was built by Osorkon II, and decorated with scenes of him celebrating the Heb Sed Festival.
In the far west, there is a long colonnade that leads to a hypostyle hall, also built by Osorkon II, and which contains papyrus and Hathor columns. The far west end of the temple, which comprised the Holy of Holies in the complex (the sanctuary), was renewed by the last Egyptian king of the 30th and final Dynasty, King Nectanebo II (360–343 BC).     ","

 
 
 
 Tell-Basta
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free
"
        Statue of Queen Meritamun
    ","https://egymonuments.gov.eg/media/6979/dsc_419eeee3.jpg?center=0.30131004366812225,0.47368421052631576&mode=crop&width=645&height=423&rnd=132936343780000000","Meritamun “the beloved of the god Amun” was the fourth daughter of the 19th Dynasty king Ramesses II, who ruled between c.1279–1213 BC. Her mother was the famous Queen Nefertari, and after her death, she also became a Great Royal Wife of Ramesses II.
This colossal pink granite statue weighs an astonishing 80 tons and stands at 9 meters in height. It was discovered by the joint mission of the Supreme Council of Antiquities and the University of Potsdam, Germany in 2001.
Although this statue was built during the reign of Ramesses II, it was later reinscribed by the 22nd Dynasty King Osorkon II (c.874–838 BC) for his wife Karomama, both of whose names can be seen on the back of this statue.
​    ","

 
 
 
 Tell-Basta
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free
"
        The Roman well
    ","https://egymonuments.gov.eg/media/6978/8-%D8%A8%D8%AF%D8%A7%D9%8A%D8%A9_%D8%B8%D9%87%D9%88%D8%B1_%D8%A7%D9%84%D8%A8%D8%A6%D8%B1_%D8%A8_%D9%85%D9%86%D8%AA%D8%B5%D9%81%D9%87_0-1991.jpg?center=0.60747663551401865,0.38815789473684209&mode=crop&width=645&height=423&rnd=132936343330000000","In 1991, indications of this well’s existence first came to light during excavations carried out by the University of Zaqaziq at the temple of Bastet. The excavation director officially announced the discovery in 1997. The well is distinguished by its Roman architectural style, with the excavation team discovering various pottery vessels from the 1st to 4th centuries AD. Historical sources pertaining to the Holy Family’s Journey in Egypt narrate that they drank from this well when they came to Bubastis on the 24th of Pashons in the Coptic calendar, which corresponds to the 1st of June. The Coptic community in Egypt still continues to celebrate this day annually.  ","

 
 
 
 Tell-Basta
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free
"
        Palace of King Amenemhat III
    ","https://egymonuments.gov.eg/media/6977/00eee.jpg?center=0.59803921568627449,0.44736842105263158&mode=crop&width=645&height=423&rnd=132936342160000000","In 1960, archeologist Shafiq Farid discovered the remains of a large palace complex made out of mud brick. The palace dates to the 12th Dynasty (c.1991–1803 BC), of the Middle Kingdom. The excavation works have continued by the archaeologists Ahmed el-Sawi, and followed by Mohammed Ibrahim Bakr in the late 1970s, 1980s and 1990s. It was believed that the palace was the residence of king Amenemhat III when he was in Per Bastet, or of the mayors of the city and the governors of the province, due to the sheer size of the palace, which ranges at around 16,000 square meters. One can also find a wonderful limestone door lintel discovered inside, which shows king Amenemhat III (c.1860–1815 BC) taking part in his Heb Sed Festival. The palace included columned porch, colonnaded courtyards, wide halls, and also what appears to be a large kitchen featuring several ovens.","

 
 
 
 Tell-Basta
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free
"
        Open Air Museum
    ","https://egymonuments.gov.eg/media/6976/dsc_5557eee.jpg?center=0.65686274509803921,0.51973684210526316&mode=crop&width=645&height=423&rnd=132936343040000000","The successive excavations at the city of Bubastis (Tell Basta) have revealed many artifacts of different sizes and ranging to different time periods. As well as many monuments at the site have led it to become an open air museum, which includes the black granite head of goddess Bastet in the form of a lioness.
In addition, one can find archaeological remains from the monumental gateway of the temple of Bastet, which was built by the 22nd Dynasty king Osorkon II (c.874–850 BC). This structure was entirely covered with depictions of Osorkon II celebrating the Heb Sed Festival. Generally, this purely royal festival aimed to rejuvenate the king and renew his royal power.
At the site there are also a large amount of stone fragments bearing the names and epithets of kings. A sandstone block depicts a standard with human arms surmounted by the Ka-hieroglyph (in the shape of two upraised arms), and a king’s Horus Name was written inside. Although it was fragmentary, it contained the Horus Name of King Nectanebo II / Nekhthorhebyt (360–343 BC), the last king of the 30th and final Dynasty.
The open air museum also includes a group of statues of kings and deities. The most prominent is the red granite statue of the 19th Dynasty King Ramesses II (c.1279–1213 BC) standing between the goddess Hathor and the god Ptah. This in turn is found near a group of Graeco-Roman Period column capitals following the Corinthian style.
​    ","

 
 
 
 Tell-Basta
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free
"
        Sabil of Muhammad Ali in al-‘Aqadin
    ",https://egymonuments.gov.eg/media/6919/1-sabil-from-outside.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132934561400000000,"Muhammad Ali Pasha established it in 1236 AH / 1820 AD in memory of his son, Prince Ahmed Tousun Pasha, who died in Rosetta in 1231 AH / 1861 AD. He was buried in the cemeteries of the Muhammd Ali family in al-Imam al-Shafi’i. This sabil is located in the al-Aqadin area on al-Mu’izz Street. It consists of a sabil (water fountain) and kuttab (school) surmounted by several rooms in two levels. The Sabil was established for a charitable purpose as it provides passersby with water. The sabil was built in the distinctive Ottoman style, the façade is semi-circular with five copper windows, and the marble decorations and oil paintings on the façade were executed in the Baroque and Rococo style. The façade was also decorated with verses of poetry written in the Ottoman Turkish language.  ","

 
 
 
 Al-Mu'izz Street
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
","
 
 FOREIGNERS:
Adults: EGP 20 / Student: EGP 10

EGYPTIANS/ARABS:
Adults: EGP 10 / Student: EGP 5
 
"
"
        Mosque-Sabil of Sulayman Agha al-Silahdar
    ",https://egymonuments.gov.eg/media/7019/untitled.png?anchor=center&mode=crop&width=645&height=423&rnd=132936327950000000,"The architectural complex of Prince Sulayman Agha Al-Silehdar is located in al-Mu’izz Street. Prince Sulayman Agha Al-Silahdar, one of the princes of Muhammad Ali Pasha, established it in 1255 AH / 1839 AD. He came to Egypt as a young man and steadily rose in rank until he took over the Salhadaria, a charge over weaponry. By his architectural complex he was able to secure a place for himself among the great kings. His architectural complex includes mosque, Sabil (drinking fountain) and Kuttab (school) unparalleled in Islamic architecture. The most important characteristic of the building is its stone façade with floral motifs. It reflects the influence of European Renaissance art, with its marble decorations and oil paintings on the wooden ceilings in Ottoman style that influenced by European arts at this time. The mosque’s minaret can be seen from the beginning of al-Mu’izz Street. It is characteristic of the Ottoman “pencil” minarets. The Sabil also includes basins for street animals to drink as a manifestation of benevolence.   ","

 
 
 
 Al-Mu'izz Street
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free
"
        Sultan al-Mu'ayyad Mosque
    ","https://egymonuments.gov.eg/media/6917/2-main-facade.jpg?center=0.36559139784946237,0.51111111111111107&mode=crop&width=645&height=423&rnd=132809336060000000","The mosque is located in al-Mu’izz Street, adjacent to Bab Zuwaila. It was founded by Sultan Al-Mu’ayyad Sheikh in 818 AH / 1415 AD. The mosque itself consists of a main open courtyard surrounded by four canopies, the largest of which is the positioned towards qibla (prayer direction). The walls are paneled with marble and the wooden pulpit is inlayed with ivory and mother of pearl. The inscriptions on it give the name and titles of Sultan al-Mu’yyad. The mosque was characterized by its unique construction, whereby its two minarets were built over another monument, Bab Zuweila, which dates to the Fatimid period and is adjacent to the mosque. Together, they formed a wonderful architectural unit. The western minaret bears the name of the mosque’s founder, and the other records the name Muhammad ibn al-Qazzaz, the minaret's employee. Among the wonderful antiques that adorn this mosque is the large entrance door, which bears the name of Sultan Hassan. The Sultan moved this entrance from the Sultan Hasan Madrasa to this mosque It is one of the most beautiful wooden doors paneled with copper. ","

 
 
 
 Al-Mu'izz Street
 
 
",24 hours daily,free
"
        Aswan Cemetery
    ","https://egymonuments.gov.eg/media/6910/dsc_0044.jpg?center=0.50142450142450146,0.5&mode=crop&width=645&height=423&rnd=132756689580000000","Located on the eastern side of the city, this is one of the oldest cemeteries in the Muslim world. It consists of two grave sites, one on the north and the other on the south. The dry climate contributed to the cemetery’s preservation, which dates to the second-century AH and was in use until the Mamluk period. The cemettrey has witnessed the first attempt to build domes above mausoleums in Egypt during the Fatimid period. Among the most important buildings in the cemetery; dome of seventy seven Waly(sheikh), Mashhad (mausoleum) of al-Sharif Hassan, Mashhad of al-Sharif Hedra, Mashhad of Abbasa Bnt Khadyj, Mashhad of al-Sada al-Ga’afera, Mashhad of Zainab Bnt al-Hanafyya, Mashhad of Sayeda Aamna in the southern cemetery.   ","

 
 
 
 Aswan
 
 
",24 hours daily,free
"
        The Tomb of Shepsipumin / Kheni (H24)
    ","https://egymonuments.gov.eg/media/6883/whatsapp-image-2021-02-25-at-110007-pm.jpeg?center=0.2857142857142857,0.34210526315789475&mode=crop&width=645&height=423&rnd=132936349380000000","The tomb of Shepsipumin dates to the sixth Dynasty, end of the reign of King Pepy II (2278-2184 BC). It was situated high up on the cliff, at a height of 225 metres. Shepsipumin was also called Kheni and was the eldest son and successor of Theti-Iker, owner of the neighbouring tomb no. H26. Kheni held many titles, Count, Treasurer of the King of Lower Egypt, Sem-priest, Sole companion, Overseer of Upper Egypt, Lector-priest, Overseer of priests, Great overlord of Akhmim. Besides his wife, Hetpet who was called the Priestess of Hathor and two of their daughters were mentioned in the tomb, in addition to four sons. The name of the eldest son is Teti.   ","

 
 
 
 El-Hawawish
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free
"
        The Tomb of Hesi-Min (M 22)
    ","https://egymonuments.gov.eg/media/6882/whatsapp-image-2021-02-25-at-105535-pm.jpeg?center=0.5,0.618421052631579&mode=crop&width=645&height=423&rnd=132936349030000000","The tomb of Hesi-Min dates back to the late fifth Dynasty, probably under the King Djedkare (2414-2375 BC).  The tomb’s  location was chosen carefully in the south side in El-Hawawish Cemetery at the height of 190 metres.   Hesi-Min held many titles, being the Overseer of the works of the King, Greatest of the ten of Upper Egypt, and Priest of Min. His wife Shepsit-Kaw was called “the Priestess of Neith, Heqet and Hathor”. Moreover, five of his sons were presented in the decoration and texts of the tomb; Ni-ankh-Min is their eldest son. The tomb contains three vertical shafts, one in the inner room and two in the front one, in addition to a sloping passage, and all of the shafts lead to burial chambers that are oriented north south. ","

 
 
 
 El-Hawawish
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free
"
        The Tomb of Hem Min (M43)
    ","https://egymonuments.gov.eg/media/6881/whatsapp-image-2021-02-25-at-105330.jpg?center=0.56862745098039214,0.51315789473684215&mode=crop&width=645&height=423&rnd=132936348670000000","The tomb of Hem-Min (the servant of the deity Mini) dates to the reign of King Teti (2345-2323 BC), it is one of the largest tomb in al-Hawawish cemetery, and perhaps one of the largest rock-cut tombs in known in Old Kingdom, which confirms the importance of its owner ""Hem-Min"" the Overseer of Upper Egypt.  As he was undoubtedly the most powerful man of his time in the southern part of the country. Architecturally also, this tomb is exceptional. It is situated in the south bend of the mountain, at a height of 193 meters and 11 vertical wells have been cut in the cemetery, in addition to two sloping wells in the northern half of the courtyard, all connected to the burial chambers of the owner of the tomb and his family. Hem-Min also held other titles, Overseer of the great court of justice, Greatest of the ten of Upper Egypt, and Priest of Maat. His wife was an Acquaintance of the King, and a Priestess of Hathor.  ","

 
 
 
 El-Hawawish
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free
"
        The Tomb of Ka Hep / Theti-Iker (H26)
    ","https://egymonuments.gov.eg/media/6880/whatsapp-image-2021-02-25-at-110345-pm.jpeg?center=0.52941176470588236,0.42763157894736842&mode=crop&width=645&height=423&rnd=132936348340000000","The tomb of “Ka Hep” dates to the reign of Pepy II during the sixth Dynasty (2278-2184 BC), which is located in the southwest corner of the al-Hawawish tombs and is distinguished by its height from the rest of the tombs next to it. As well, it contains many funerary scenes, offerings, daily life, dancing, hunting and agriculture. The tomb's facade is distinguished by inscriptions representing the titles of “Ka Hep” and scenes of him next to his wife. While the southern wall is inscribed with a scene that shows boats carrying the funeral’s furniture. Another scene represents the owner in a fishing boat, catching two large fish, while his wife is squatted holding two lotus plants. Behind them, there are five members of the family, two men and three women.   ","

 
 
 
 El-Hawawish
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free
"
        The Tomb of Nehwet Desher/Meri (G95) 
    ","https://egymonuments.gov.eg/media/6879/whatsapp-image-2021-02-25-at-110411-pm.jpeg?center=0.51428571428571423,0.68421052631578949&mode=crop&width=645&height=423&rnd=132936347980000000","This tomb is located at the southernmost end of the western slope of the mountain.  It lies at a height of 196.5 meters. The tomb is dating to the beginning or middle of King Pepi II’s reign (2278-2184 B.C). Nehwet Desher, also called Meri, held many titles such as, overseer of priests', privy to the secret of the god's treasure', great overlord of the province', attendant of Min, sole companion, treasurer of the king of Lower Egypt. His wife “Isi” was ‘acquaintance of the king', 'priestess of Hathor lady of the sycamores'. Shepsipumin was his older son and it had recorded that he was the one who decorated the tomb himself.   ","

 
 
 
 El-Hawawish
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free
"
        Isis Temple
    ","https://egymonuments.gov.eg/media/6720/img-20210105-wa0084q.jpg?crop=0,0.21926910299003313,0,0&cropmode=percentage&width=645&height=423&rnd=132629620820000000","The Temple of Isis is located on the eastern bank of Aswan Governorate, next to the eastern fence of the city. Part of the temple was built during the reigns of Ptolemy III and Ptolemy IV but was later on converted into a church, most likely to venerate Saint Mary. The temple is one of the most important archaeological discoveries due to the fact that it was found preserved in great conditions since its discovery in 1871. The temple remains standing tall with its four magnificent walls and roof with distinctive granite panels.           There are two entrances to the temple on the western side; where the main entrance is located in the middle of the facade and the other at the far left of the main entrance. Towards the back wall of the main hall of the temple, one can admire the wonderful scenes depicting the king making offerings to the gods (Satet - Anqet - Khnum) known as the Aswan trinity. During the restoration work of the mission, numerous Coptic inscriptions were revealed, as well as a rare architectural drawing illustrating the original layout of the temple on the walls. This can all be admired in addition to the remains of Roman and Islamic brick dwellings.           In the middle of the temple's façade is the majestic main gate, decorated with colorful scenes and texts, and above which one can find the winged sun disk featured in the middle. The entrance leads to a transverse hall containing three rooms in the middle of the hall of the Holy of Holies.            This section contains three imposing granite altars in the hall, two of which are located on the northern corridor of the main hall, whilst the other altar is situated on the southern corridor in addition to another one inside the Chamber of the Holy of Holies. All of these altars contain the titles of King Ptolemy IV inscribed on them. Some pictorial scenes are featured on the southern pillar of the hall representing a group of saints, thus confirming that the temple was used as a church in later periods. The Chamber of the Holy of Holies is located in the middle of the temple accessible through an entrance topped by the winged sun disk. In addition, it is decorated with a series of wonderful scenes, some of which illustrate beer being served to Isis, whilst other ones represent the goddess Maat being presented to the god Khnum, as well as another scene depicting pure water being poured on the goddess Isis","

 
 
 
 Aswan
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
","
 
 FOREIGNERS:
Adult: EGP 60 / Student: EGP 30
Photography ( Personal Use – Without Flash ) : EGP 50
Camera Holder : EGP 20
Photography with mobile phone is free of charge
Free Entry for Children under 6 years

EGYPTIANS/ARABS:
Adult: EGP 10 / Student: EGP 5
Photography ( Personal Use – Without Flash ) : EGP 20
Camera Holder: EGP 10
Photography with mobile phone is free of charge
Free Entry for Children under 6 years
 
"
"
        Imam al-Shafi’i Mosque
    ","https://egymonuments.gov.eg/media/6446/whatsapp-image-2020-11-21-at-51428-pm-1.jpeg?crop=0,0,0,0.13991612657262667&cropmode=percentage&width=645&height=423&rnd=132936375990000000",It was built by Abd al-Rahman Katkhuda in the year ( 1176 AH / 1762-1763 AD ) and remained unchanged until Khedive Tawfiq Pasha ordered to renewal it in the year ( 1309-1310 AH / 1891-1892 AD ).    ,"

 
 
 
 Al-Fustat (Old Cairo)
 
 
","
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
",free
"
        Luxor Temple
    ","https://egymonuments.gov.eg/media/1222/msm_0258-copy.jpg?crop=0.11116408300524934,0,0.15064694061679793,0.26183283707248828&cropmode=percentage&width=645&height=423&rnd=132898393860000000","Luxor Temple, Ipet‑resyt “Southern Sanctuary” to the ancient Egyptians, was so called because of its location within ancient Thebes (modern Luxor). It is located around three kilometers to the south of Karnak Temple, to which it was once linked with a processional way bordered with sphinxes. The oldest evidence for this temple dates to the Eighteenth Dynasty (c.1550–1295 BC).           Ipet‑resyt, unlike most other ancient Egyptian temples, is not laid out on an east‑west axis, but is oriented towards Karnak. This is because Luxor Temple was the main venue for one the most important of ancient Egyptian religious celebrations, when the cult images of Amun, his wife Mut, and their son, the lunar god Khonsu, were taken from their temples in Karnak, and transported in a grand procession to Luxor Temple so they could visit the god that resides there, Amenemopet. This was the Opet Festival.           Luxor Temple was not constructed by one single ruler. The oldest existing structure, a shrine, dates to the reign of Hatshepsut (c.1473–1458 BC). The core of the temple was built by Amenhotep III (c.1390–1352 BC). One of the inner rooms contains a series of scenes that are known as the Divine Birth. They tell the amazing story of how the king’s true father was none other than the god Amun himself. The core of the temple is preceded by a columned hall fronted by a courtyard with columns around its perimeter. Amenhotep III also built the Great Colonnade, which consists of two rows of seven colossal columns. Its decoration, most notably the scenes depicting the Opet Festival, were completed by Tutankhamun (c.1336–1327 BC) and Horemheb (c.1323–1295 BC).           Ramesses II (c.1279–1213 BC) made many additions to Luxor Temple. In front of the Great Colonnade, he built a peristyle courtyard and a massive pylon, a gate with two towers that formed the entrance into temples. In addition to many colossal statues, the pylon was also fronted by a pair of 25‑meter‑high obelisks made by this great king, but only one remains in place; the other has been at the Place de la Concorde in Paris since 1835–1836.           In the late third century AD, the Romans built a fort around the temple, and the first room beyond the hypostyle hall of Amenhotep III became its sanctuary. The original wall reliefs were covered with plaster, and painted in the Graeco‑Roman artistic style, depicting Emperor Diocletian (284–305 AD) and his three coregents. Although these had largely disappeared, efforts are under way to restore these to their former glory.","

 
 
 
 Luxor 
 
 
","
 
 From
 
07:00 AM

 
 

 
 To
 
08:00 PM

 
 
","
 
 FOREIGNERS:
Adult: EGP 160 / Student: EGP 80

EGYPTIANS/ARABS:
Adult: EGP 30 / Student: EGP 10
 
"
"
        Hatshepsut Temple
    ","https://egymonuments.gov.eg/media/1252/dsc_0423-2.jpg?center=0.54166666666666663,0.46721311475409838&mode=crop&width=645&height=423&rnd=132898394010000000","Hatshepsut (c.1473–1458 BC), the queen who became Pharaoh, built a magnificent temple at Deir al-Bahari, on the west back of Luxor. It lies directly across the Nile from Karnak Temple, the main sanctuary of the god Amun. Hatshepsut’s temple, Djeser-djeseru “the Holy of Holies” was designed by the chief steward of Amun, Senenmut.           The temple consists of three levels each of which has a colonnade at its far end. On the uppermost level, an open courtyard lies just beyond the portico. Mummiform statues of Hatshepsut as Osiris, the god of the dead, lean against its pillars.           This is because Djeser-djeseru is Hatshepsut’s mortuary temple, where her cult was practiced after her death, when she attained the blessed state of Osiris. Far from being devoted solely to her, the temple also includes sections for the cults of her revered father Thutmose I, the goddess Hathor, and the funerary god Anubis. An altar, open to the sky and the sun, was dedicated to the cult of the solar Ra‑Horakhty. Pride of place was given to Amun. At the far end of the upper courtyard, on the temple’s central axis, a passage cut directly into the living rock culminates in his sanctuary.           The temple’s walls are covered with beautiful painted reliefs depicting temple rituals, religious festivals, and even the transportation of obelisks from the quarry to their destination in Karnak Temple. Perhaps most interesting are the reliefs in the portico on the so-called Middle Platform. The decorative programme on the left side depicts Hatshepsut’s expedition to Punt, believed to be located near modern Eritrea. The inhabitants of this land, their dwellings, and surrounding environment are vividly recorded, as are the riches and exotic animals that the Egyptians brought back with them. On the other side of the portico, Hatshepsut relates how she is the rightful king of Egypt. She does this not only by claiming that her father Thutmose I had designated her as his heir, but by stating that her true father was none other than the god Amun himself. ","

 
 
 
 Deir al-Bahari
 
 
","
 
 From
 
07:00 AM

 
 

 
 To
 
05:00 PM

 
 
","
 
 FOREIGNERS:
Adults: EGP 140 / Student: EGP 70

EGYPTIANS/ARABS:
Adults: EGP 30 / Student: EGP 10
 
"
"
        Tomb of Tutankhamun
    ","https://egymonuments.gov.eg/media/3390/tutankhamun.jpg?center=0.44444444444444442,0.674074074074074&mode=crop&width=645&height=423&rnd=132898394070000000","The tomb of the Eighteenth Dynasty king Tutankhamun (c.1336–1327 BC) is world-famous because it is the only royal tomb from the Valley of the Kings that was discovered relatively intact. Its discovery in 1922 by Howard Carter made headlines worldwide, and continued to do so as the golden artifacts and other luxurious objects discovered in this tomb were being brought out. The tomb and its treasures are iconic of Egypt, and the discovery of the tomb is still considered one of the most important archaeological discoveries to date.          Despite the riches it contained, the tomb of Tutankhamun, number 62 in the Valley of the Kings, is in fact quite modest compared to the other tombs on this site, in both size and decoration. This is most likely due to Tutankhamun having come to the throne very young, and even then ruling for only around ten years in total. One can wonder at what riches the much larger tombs of the most powerful kings of the New Kingdom, such as Hatshepsut, Thutmose III, Amenhotep III, and Ramesses II once contained.           Only the walls of the burial chamber bear any decoration. Unlike most previous and later royal tombs, which are richly decorated with funerary texts like the Amduat or Book of Gates, which helped the deceased king reach the afterlife, only a single scene from the Amduat is represented in the tomb of Tutankhamun. The rest of decoration of the tomb depict either the funeral, or Tutankhamun in the company of various deities.           This small size of the tomb of Tutankhamun (KV62) has led to much speculation. When his successor, the high official Ay, died, he was buried in a tomb (KV23), which may have been originally intended for Tutankhamun, but which had not yet been completed at the time of the death of the young king. The same argument has been made in turn for the tomb of Ay’s successor, Horemheb (KV57). If so, it is unclear for whom the eventual tomb of Tutankhamun, KV62, was carved, but it has been argued that it existed already, either as a private tomb or as a storage area, that was subsequently enlarged to receive the king.          Whatever the reason, the small size of the tomb meant that the approximately 3,500 artefacts that were discovered inside were stacked very tightly. These reflect the lifestyle of the royal palace, and included objects that Tutankhamun would have used in his daily life, such as clothes, jewelry, cosmetics, incense, furniture, chairs, toys, vessels made of a variety of materials, chariots, and weapons.","

 
 
 
 Valley of the Kings
 
 
","
 
 From
 
07:00 AM

 
 

 
 To
 
05:00 PM

 
 
","
 
 FOREIGNERS:
Adult: EGP 300 / Student: EGP 150

EGYPTIANS/ARABS:
Adult: EGP 40 / Student: EGP 20
 
"
"
        Tomb of Sety I (KV17)
    ","https://egymonuments.gov.eg/media/3389/54.jpg?center=0.40952380952380951,0.50370370370370365&mode=crop&width=645&height=423&rnd=132898393930000000","The tomb of Sety I is one of the longest, deepest, and most beautifully decorated tombs in the Valley of the Kings. Sety I (c.1294–1279 BC) was the second king of the Nineteenth Dynasty, and father of Ramesses II (the Great). His tomb, number 17 in the Valley of the Kings, is sometimes called “Belzoni’s tomb” after its discoverer.           Like the other tombs in the Valley of the Kings, the tomb of Sety I is decorated with various funerary texts, the aim of which was to ensure his successful transition to the afterlife. The tomb of Sety I was the first tomb in the Valley of the Kings to be entirely decorated. The elegant painted scenes and reliefs are of the exquisite quality that the reign of Sety I is so well known for. The funerary texts attested there are the Litany of Re, Amduat, and Book of Gates, in addition to the Book of the Divine Cow and the gorgeous astronomical scenes decorating the ceiling of his burial chamber, simulating the night sky.           Architecturally, the tomb of Sety I falls under the “joggled axis” type characteristic of his period. The first series of corridors and descending passageways terminate into the first pillared room, where, in the facing wall, but off-axis, another series of descending passageways cut into the floor of the room lead to the burial chamber. The tomb does feature a number of new and unique characteristics. Along the same axis of the first series of corridors and descending passageways, a doorway leads into a single room. This may have been intended to lead intruders to believe that this was the actual burial chamber. The tomb of Sety I is also the first tomb to possess a burial chamber with a vaulted ceiling. Perhaps most interesting of all is the passage begins in the floor of the burial chamber, descending even further, deep into the earth. It is believed that this was intended to ritually connect the tomb of Sety I with the primeval and regenerative powers of the underworld.          In 1821, painted recreations of several rooms from the tomb of Sety I were displayed in the Egyptian Hall in Piccadilly in London. This exhibition, put together by the discoverer of the tomb, Giovanni Battista Belzoni, made an ancient Egyptian tomb available to various members of the public. It captured people’s imagination, and is one of the first monuments responsible for attracting popular attention to ancient Egypt. ","

 
 
 
 Valley of the Kings
 
 
","
 
 From
 
07:00 AM

 
 

 
 To
 
05:00 PM

 
 
","
 
 FOREIGNERS:
Adult: EGP 1000 / Student: EGP1000

EGYPTIANS/ARABS:
Adult: EGP 500 / Student: EGP 250
 
"
"
        Tomb of Ramesses VI (KV9)
    ",https://egymonuments.gov.eg/media/3388/ramesses-001.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132898394160000000,"This tomb was begun by King Ramesses V (c.1147–1143 BC) of the Twentieth Dynasty. Although it is uncertain whether he was ultimately buried here, it is clear that his uncle Ramesses VI (c.1143–1136 BC) enlarged the tomb and used it for his burial.           The tomb is simple in plan, essentially consisting of a series of descending corridors that lead deep underground, in a straight line to the burial chamber. The exquisitely painted sunk relief walls are very well preserved. A decline in the quality of the decoration since the Nineteenth Dynasty (c.1295–1186 BC) is evident, however.           The tomb’s decorative programme consists of various funerary texts to help the king in his successful transition to the afterlife. The first descending passages are decorated with the Book of Gates, Book of Caverns, and Books of the Heavens. The passages beyond bear scenes from the Amduat, the Book of the Dead, and the Books of the Heavens, and scenes from the Book of the Earth adorn the burial chamber. All ceilings are decorated with astronomical scenes and texts. Some of these funerary texts are collections of spells, and others are maps of the underworld, describing the sun god’s daily nocturnal journey through it. Through them, just like the sun god, the king could achieve a glorious rebirth in the eastern horizon at dawn.  ","

 
 
 
 Valley of the Kings
 
 
","
 
 From
 
07:00 AM

 
 

 
 To
 
05:00 PM

 
 
","
 
 FOREIGNERS:
Adults: EGP 100 / Student: EGP 50

EGYPTIANS/ARABS:
Adults: EGP 30 / Student: EGP 10
 
"
"
        Temple of Dendera
    ",https://egymonuments.gov.eg/media/3108/untitled1.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132936357480000000,"Hathor was among the most important and popular deities in ancient Egypt. She was associated with music, joy, dance and motherhood, she was also known as the lady of the sky. Her main cult center was at Dendera where one of the best-preserved temples in Egypt stands today. The entrance of the temple, with six massive columns surmounted with the head of Hathor,is considered among the most beautiful monuments in Egypt. Sistrums (a musical instrument) closely associated with the goddess, frame her head. The temple of Dendera dates back to the Ptolemaic Period, although evidence points to older structures once existing on the sitedating as far back as  king Pepy II, from the Old Kingdom. Among the temple’s most notable features are astronomical engravings on its ceiling. One of the primary celebrations that took place at Dendera was for the Egyptian New Year. The night before the new year, a statue of Hathor was brought out on a shrine and placed on the roof of the temple to receive the sun’s first rays, which symbolically renewed and the rejuvenated the goddess.  ",About 5 km northwest of Qena and 60 km north of Luxor,"
 
 From
 
09:00 AM

 
 

 
 To
 
03:00 PM

 
 
","
 
 FOREIGNERS:
Adult: EGP 100/ Student: EGP 50

EGYPTIANS/ ARABS:
Adult: EGP 20/ Student: EGP 10
 
"
