name,image,information,location,type
"
 Osiris Statuette
","https://egymonuments.gov.eg/media/4636/59.jpg?crop=0,0,0.1909385113268609,0.39128816806663191&cropmode=percentage&width=645&height=423&rnd=132581519580000000","Osiris was the god of vegetation and the underworld. He was the deity who oversaw the weighing of the heart, which determined whether the deceased was worthy of admittance into the afterlife. For this reason, he was revered by the deceased, and statuettes such as this one were made to be placed in tombs. Another reason for this veneration are the stories of the death of Osiris, his mummification and subsequent transition to the afterlife, an outcome which every human hoped to emulate.","
 Mummification Museum
",Artifact
"
 Statue of Nephthys
",https://egymonuments.gov.eg/media/4666/dsc_0802.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132581519580000000,"Nephthys, whose name means “Mistress of the House”, played an important role in ancient Egyptian funerary beliefs. Her and her sister Isis’ grief at the death of their brother Osiris made them the archetypal mourners for the dead. She is here depicted in the standard mourning position, kneeling; had her arm not been missing, it would have been turned upward, with the palm of her hand facing her forehead. When she and Isis discovered the body of their murdered brother, they stood on either side of him, and resurrected him. For these reasons, Isis and Nephthys are depicted at either end of a coffin or sarcophagus, often in the mourning position. This figure of Nephthys most likely comes from precisely this context.","
 Mummification Museum
",Artifact
"
 Kohl Container
",https://egymonuments.gov.eg/media/4671/img_4090.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132581519580000000,"Ivory kohl""Eyeliner""container, inlaid with mother-of-pearl.","
 Museum of Islamic Art
",Artifact
"
 Ewer made of copper
","https://egymonuments.gov.eg/media/4683/img_4213_new.jpg?crop=0,0.49013157894736847,0,0.073018665850673084&cropmode=percentage&width=645&height=423&rnd=132581519580000000","Ewer made of copper decorated in enamel and gold.   Date: 13th A.H/ 19th A.D century.

Mideum:copper

 Provinence: Iran - Qajar.","
 Museum of Islamic Art
",Artifact
"
 Incense Burner
","https://egymonuments.gov.eg/media/4707/piece2_1.jpg?crop=0,0.035971223021582732,0,0.020411577714572429&cropmode=percentage&width=645&height=423&rnd=132581519580000000","Incense burner made of a copper alloy inlaid with gold and silver.  Mamluk Period, 8th century AH / 14th century AD

Medium: Copper, gold, silver

Provenance: Egypt","
 Museum of Islamic Art
",Artifact
"
 Sarcophagus of Kawit
","https://egymonuments.gov.eg/media/4789/img_20200213_113820.jpg?crop=0,0.095925925925925928,0,0.029655469422911192&cropmode=percentage&width=645&height=423&rnd=132581519570000000","This is the sarcophagus of Queen Kawit, the wife of King Nebhepetre Mentuhotep, the founder of the Middle Kingdom. The outer faces are beautifully decorated with daily life scenes, in one case depicting her drinking in front of a table laden with food, while one of the maids is hairdressing the queen's hair, and a maid pours her next drink. She holds a mirror in her free hand. In another scene, she is shown holding a lotus flower to her nose while dipping her finger in an unguent container held up by a servant. Her chest lies in front of her, the jewelry inside it depicted one on top of the other. Other scenes show cows being milked or calves breastfeeding. The combination of beauty, seen in the mirror, jewelry, and unguent, together with the lotus, the cows, and milk, together form very clear allusions to fertility, youth, rebirth, and Hathor, the goddess of love, beauty, fertility, music, and motherhood.","
 The Egyptian Museum
",Artifact
"
 Amenhotep III and Tiye Colossal Statue
","https://egymonuments.gov.eg/media/4792/20.jpg?crop=0.365709763470454,0.424034485816722,0.4061880467485241,0.35007065010327432&cropmode=percentage&width=645&height=423&rnd=132581519570000000","This colossal statue depicts the royal couple, Amenhotep III and his wife Tiye, along with their three daughters. This is the largest known ancient Egyptian family group statue ever carved, and it is fitting that it dates to the reign of Amenhotep III, whose prosperous rule was marked by great such monumentality.","
 The Egyptian Museum
",Artifact
"
 Djed Column
","https://egymonuments.gov.eg/media/4829/0_079.jpg?center=0.46223564954682778,0.52292020373514436&mode=crop&width=645&height=423&rnd=132581519570000000","The djed column was a symbol of stability and continuity. It was a stylized depiction of a tree whose branches have been bundled up by means of ropes. It is a symbol that is very closely tied with Osiris, the god of the dead and vegetation. An ancient Egyptian ritual consisted of erecting a djed column, which symbolized the resurrection of Osiris and by extension all plant life. Later in ancient Egyptian history, it came to be identified as the backbone of Osiris. Amulets were often shaped like the djed column to protect its wearer in death and in life.","
 Mummification Museum
",Artifact
"
 Icon of the Holy Family’s flight into Egypt
","https://egymonuments.gov.eg/media/5945/dsc.jpg?center=0.4,0.5901639344262295&mode=crop&width=645&height=423&rnd=132581519560000000","This icon depicts the flight of the Holy Family into Egypt. The Virgin Mary is riding a white horse, while Jesus can be seen sitting on St. Joseph’s right shoulder.","
 The Coptic Museum
",Artifact
"
 Lintel depicting Jesus Christ’s entry into Jerusalem
","https://egymonuments.gov.eg/media/5951/page69-1003-full.jpg?center=0.7678571428571429,0.41803278688524592&mode=crop&width=645&height=423&rnd=132581519560000000","This rectangular lintel is beautifully and intricately decorated with raised relief depicting Jesus Christ’s entry into Jerusalem. This is when He entered the city, humbly riding a donkey, as crowds joyfully received Him. This event is commemorated annually on the seventh Sunday of Lent (the period of fasting between Ash Wednesday and Easter), which is known as Palm Sunday.","
 The Coptic Museum
",Artifact
"
 Three monumental keys of Monasteries
","https://egymonuments.gov.eg/media/6060/g75a3364.jpg?center=0.51724137931034486,0.74590163934426235&mode=crop&width=645&height=423&rnd=132581519560000000",Three monumental keys of monastries from sohag. Two of them are decorated like a Corinthian column capital and the third is decorated with a cross.,"
 The Coptic Museum
",Artifact
"
 Clock tower
","https://egymonuments.gov.eg/media/6084/whatsapp-image-2020-07-02-at-95628-pm.jpeg?crop=0,0,0,0.53897085870764694&cropmode=percentage&width=645&height=423&rnd=132581519560000000",The tower is located between the reception hall and the mosque. It was built in the style of towers in Andalusia in the past. Prince Muhammad Ali Tawfiq was placed at the top of the tower face clock and made its hand in the form of two snakes.The bottom of the tower is decorated with Quranic scriptures.,"
 Manial Palace Museum
",Artifact
"
 The mihrab and minbar of the Prince Muhammad Ali Mosque
","https://egymonuments.gov.eg/media/6086/dsc_0227.jpg?center=0.33333333333333331,0.47540983606557374&mode=crop&width=645&height=423&rnd=132581519560000000","The mosque is located inside the Prince Muhammad Ali palace in Manial. In the middle of the eastern wall of the mosque is a mihrab(niche) decorated with blue ceramic tiles, to the right of which is a small minbar (pulpit) decorated with gilded decorative ornaments.","
 Manial Palace Museum
",Artifact
"
 The throne hall ceiling
","https://egymonuments.gov.eg/media/6094/dsc_0479.jpg?center=0.12345679012345678,0.47540983606557374&mode=crop&width=645&height=423&rnd=132581519560000000","Ceiling covered with sun disk,golden rays, and the four corners of ceiling are parts of these rays","
 Manial Palace Museum
",Artifact
"
 A lamp in the name of Sultan Hassan
",https://egymonuments.gov.eg/media/6212/2222.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132581519560000000,"A lantern of glass on its neck has a gilded Quranic writing, and on its body an inscription in blue enamel with the name of Sultan Hassan, from the Sultan Hassan School       Date: Mamluk Era.

Medium:Enamelled glass

Provenance : Egypt","
 National Museum of Egyptian Civilization(NMEC)
",Artifact
"
 Bracelets of King Ramesses II
",https://egymonuments.gov.eg/media/6213/dsc_9620-555555.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132581519560000000,"Gold and lapis lazuli bracelets of King Ramesses II    Dynasty 18, reign of King Ramesses II, ca. 1279–1213 BC

Medium: Gold and lapis lazuli

Provenance : Tall Basta, Eastern Delta","
 National Museum of Egyptian Civilization(NMEC)
",Artifact
"
 Belt of Prince Ptah-Shepses
","https://egymonuments.gov.eg/media/6214/crown.jpg?crop=0,0.017554972400687548,0,0&cropmode=percentage&width=645&height=423&rnd=132581519560000000","Belt of Prince Ptah-Shepses made of gold, red carnelian    Date: Old Kingdom, dynasty 6, ca. 2323-2150

Medium :Gold

Provenance : Saqqara","
 National Museum of Egyptian Civilization(NMEC)
",Artifact
"
 Lustreware
","https://egymonuments.gov.eg/media/6217/dsc_9583-%D8%B9%D9%85%D8%A7%D8%AF.jpg?crop=0.095789669747116543,0.11706654426644955,0.075261265133605676,0.068536568574017437&cropmode=percentage&width=645&height=423&rnd=132581519560000000","Lustreware    Date: Fatimid Period, AH 358-567 / AD 969-1169

Mideum: pottery

Provenance: unknown","
 National Museum of Egyptian Civilization(NMEC)
",Artifact
"
 Ivory comb
","https://egymonuments.gov.eg/media/6275/coptic-museum1.jpg?center=0.45180722891566266,0.497737556561086&mode=crop&width=645&height=423&rnd=132581519550000000","In Egypt the use of combs can be traced back more than five thousand years when they included in burials of both men and women, a custom that continued well into the Byzantine times when some burials document the practice of placing a comb on the chest of the deceased. Wood was the most common material used for making combs, Ivory examples like this one was luxury items, some perhaps intended for liturgical use.","
 The Coptic Museum
",Artifact
"
 The Journey of the Holy Family to Egypt
",https://egymonuments.gov.eg/media/6336/dsc_0619.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132581519550000000,"This unique roundel represents the Journey of the Holy Family to Egypt woven on a red background. In the center, in a square frame, the Virgin Mary -with the halo encircled her head- seats on the donkey carrying Christ-child. Behind her there is a building. Next to the Virgin there are two figures; one probably is St. Joseph and the other is Salome, the cousin and the mid-wives of the Virgin. The central scene is surrounded by eight figures; four standing andthe other four riding on animals at the corner.","
 Kafr El-Sheikh Museum
",Artifact
"
 Two Door Shutters
","https://egymonuments.gov.eg/media/6337/whatsapp-image-2020-10-27-at-31218-pm-2.jpeg?center=0.23456790123456789,0.42622950819672129&mode=crop&width=645&height=423&rnd=132581519550000000","Two wooden door shutters inlayed with Ivory and mother of pearl. It is decorated with geometric designs and stars. The borders of the doors are framed with simple floral branches. It has a wooden lock on which is inscribed “support from Allah, and imminent victory. Give good tidings to the believers... (made by ) the Faqir (poor) Ibrahim”. This kind of inlayed decoration spread throughout Egypt during the Mamluk Bahari and Circassian periods (14-15 c AD/ 8-9 c AH). It remained in use until the Ottoman period.","
 Kafr El-Sheikh Museum
",Artifact
"
 Ramesses II and Sekhmet
",https://egymonuments.gov.eg/media/6339/whatsapp-image-2020-10-27-at-31229-pm-2.jpeg?anchor=center&mode=crop&width=645&height=423&rnd=132581519550000000,"This statue depicts King Ramesses II sitting beside Sekhmet, the fierce goddess whose very name means “the Powerful”. She was a daughter and protector of the sun god Ra. She is depicted in her most common form, as a woman with the head of a lioness with the sun disk and protective uraeus cobra on her head. She is holding the ankh hieroglyph, symbol of life, in her left hand. Interestingly, like her, Ramesses II’s head is surmounted by the sun disk and uraeus too, which is not a common for kings.","
 Kafr El-Sheikh Museum
",Artifact
"
 Head of Hatshepsut
","https://egymonuments.gov.eg/media/6340/sh21h.jpg?center=0.59712230215827333,0.56557377049180324&mode=crop&width=645&height=423&rnd=132581519550000000","Head an Osirid (mummiform) statue of Queen Hatshepsut that stood in front of the pillars of the upper colonnade of her funerary temple. The bottom of the Red Crown of Lower Egypt can be seen. She had a ceremonial beard in compliance with the iconography expected of a pharaoh, but nevertheless the wide eyes with extended cosmetic lines, the gently curving eyebrows and the full cheeks bear distinctive feminine features.","
 Sharm al-Sheikh Museum
",Artifact
"
 A stele depicting a physician or pharmacist 
","https://egymonuments.gov.eg/media/6347/%D8%A7%D9%84%D8%B5%D9%8A%D8%AF%D9%84%D9%8A.png?center=0.5092592592592593,0.58139534883720934&mode=crop&width=645&height=423&rnd=132581519550000000","The man is dressed in Greek himation and chiton, and is seated on a chair with a high back, indicating a high ranking person. He is facing an altar and treating an item in a dish with a small instrument. The rolled papyrus in his left hand indicates that he is a literate and learned person. The cupboard on his right contains three shelves bearing different shaped vessels, likely containing medicines and other healing materials. ","
 Kafr El-Sheikh Museum
",Artifact
"
 A votive altar 
",https://egymonuments.gov.eg/media/6349/%D8%A7%D9%84%D9%85%D8%B0%D8%A8%D8%AD.png?anchor=center&mode=crop&width=645&height=423&rnd=132581519550000000,"Such small votive objects were dedicated in temples or small shrines by devotees of different deities. This example shows the very common horned type, with Greek-style architectural elements: doric columns and capitals, and cornices bearing dentils. There are two sphinxes in relief on the lateral horns of the altar with a figure of standing Harpokrates between them. This structure reflects the monumental altars dedicated in important religious centers like that built by Alexander the Great in Alexandria.","
 Kafr El-Sheikh Museum
",Artifact
"
 Head of Thutmose I
",https://egymonuments.gov.eg/media/6350/sh21c.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132581519550000000,"Head of an Osirian (mummiform) statue of King Thutmose I,  father of Queen Hatshepsut, with a curved ceremonial beard. It bears the typical thutmoside facial features of early to mid-18th Dynasty royal statuary, especially the wide eyes and the slight smile.","
 Sharm al-Sheikh Museum
",Artifact
"
 Metal lantern 
","https://egymonuments.gov.eg/media/6351/20200711-royal-carriages-museum-pre-opening-99233.jpg?crop=0.16139930098625999,0.32764375919109495,0.13109691386849073,0.10710665616640969&cropmode=percentage&width=645&height=423&rnd=132581519550000000","Metal lantern used for illuminating the carriages, the initials of Wali Said Pasha (r. 1854-1863) were engraved on the glasses.","
 The Royal Carriages Museum 
",Artifact
"
 Stirrups
","https://egymonuments.gov.eg/media/6352/20200711-royal-carriages-museum-pre-opening-200.jpg?crop=0,0.089147286821705335,0,0&cropmode=percentage&width=645&height=423&rnd=132581519550000000",A pair of gilded bronze stirrups.,"
 The Royal Carriages Museum 
",Artifact
"
 Porcelain statue
","https://egymonuments.gov.eg/media/6354/20200711-royal-carriages-museum-pre-opening-352.jpg?crop=0,0.21629629629629629,0,0.34649440137812226&cropmode=percentage&width=645&height=423&rnd=132581519540000000",Painted porcelain statue of a horseman wearing a suit on a wooden base- Made in Austria.                 ,"
 The Royal Carriages Museum 
",Artifact
"
 A set of seals
","https://egymonuments.gov.eg/media/6355/20200711-royal-carriages-museum-pre-opening-220.jpg?crop=0,0,0,0.026259905733671589&cropmode=percentage&width=645&height=423&rnd=132581519540000000",A set of seals designated for the Royal Mews.,"
 The Royal Carriages Museum 
",Artifact
"
 Footman’s livery worn
","https://egymonuments.gov.eg/media/6356/20200711-royal-carriages-museum-pre-opening-192-472x1280.jpg?crop=0,0.023955946180555555,0,0.73421265847060724&cropmode=percentage&width=645&height=423&rnd=132581519540000000","Footman’s livery worn by the one who used to run alongside the carriage during official processions. The footman was responsible for preparing the carriage, guarding it and clearing the way with a bamboo stick in the morning and holding out a torch at night.","
 The Royal Carriages Museum 
",Artifact
"
 A Statue of a Ptolemaic queen 
","https://egymonuments.gov.eg/media/6358/sh281.jpg?center=0.32417582417582419,0.59836065573770492&mode=crop&width=645&height=423&rnd=132581519540000000","This statue depicts a Ptolemaic queen in the form of the goddess Isis, wearing a long cloak knotted at the chest with the “Isis knot.” She carries the cornucopia in her left hand, which is now missing. This type of statue appeared with the Ptolemaic queens during the reign of Arsnoi II and lasted up until the reign of Cleopatra VII. These statues combined Egyptian and Greek artistic traditions, and were often used as a form of political propaganda by the Ptolemy's, deifying their rulers following their death.","
 Sharm al-Sheikh Museum
",Artifact
"
 Column with Hathor Capital
","https://egymonuments.gov.eg/media/6359/sh91.jpg?crop=0,0.005930160211541453,0,0.38201762001396283&cropmode=percentage&width=645&height=423&rnd=132581519540000000","The four sides of the capital of this column are decorated with the face of the goddess Hathor, depicted with a woman's face and cow ears, topped by the representation of a shrine façade. The whole is made to look like a sistrum, a musical instrument; the shaft of the column is inscribed with the name of King Apries, who is described as being the beloved of the goddess Neith the Lady of Sais, the 26th Dynasty capital in the western Delta.","
 Sharm al-Sheikh Museum
",Artifact
"
 Wife of Nakhtmin
","https://egymonuments.gov.eg/media/6363/picture3.jpg?center=0.25190839694656486,0.47560975609756095&mode=crop&width=645&height=423&rnd=132581519540000000","One of the most elegantly sculptured women figures from ancient Egypt, wearing a transparent garment of fine, pleated linen and a wig with a band of petals with a blooming lotus flower in the center. In her left  hand she holds a menat necklace, which is associated with the goddess Hathor. On the back in Hieroglyphs the titles of her husband General Nakhtmin are engraved as it was originally a statue of the couple.","
 Sharm al-Sheikh Museum
",Artifact
"
 Pair Statue of Tjay and Naya	
","https://egymonuments.gov.eg/media/6364/7.jpg?center=0.38541666666666669,0.60655737704918034&mode=crop&width=645&height=423&rnd=132581519540000000","This excellently preserved statue depicts the couple seated, and wearing fine clothes and elaborate wigs whose intricate details are faithfully portrayed by the sculptor. Naya affectionately has her right hand on her husband’s shoulder. On the back the couple is shown in relief sitting at an offering table facing the lady ""Tinr"".","
 Sharm al-Sheikh Museum
",Artifact
"
 Ramses II as standard-bearer
","https://egymonuments.gov.eg/media/6365/106988272_3208355279210100_5023352238258796523_n.jpg?crop=0.0000000000000001263187085796,0.4780813953488372,0,0&cropmode=percentage&width=645&height=423&rnd=132581519540000000","The head of a rose granite statue of King Ramses II as standard-bearer during temple festivals, holding a standard ending in two feathers against his left side. He wears a composite crown composed of a ring of cobras topped by ram horns, a sun disk and two high feathers flanked by two large cobras. A falcon spreads his wings to protects the back of the head.","
 Sharm al-Sheikh Museum
",Artifact
"
 Caravan
","https://egymonuments.gov.eg/media/6443/img-20201111-wa0076.jpg?crop=0,0,0,0.50813953488372088&cropmode=percentage&width=645&height=423&rnd=132581519540000000","It is a large four-wheeled wooden carriage that is unusually covered with zinc plates. Made in England, reign of khedive khedive ismail (r. 1863- 1879).","
 The Royal Carriages Museum 
",Artifact
"
 Oil patinting 
","https://egymonuments.gov.eg/media/6444/img-20201111-wa0080.jpg?crop=0,0.071640624999999944,0.0000000000000008842309600570,0.190568677325582&cropmode=percentage&width=645&height=423&rnd=132581519540000000",Oil patinting of king fouad’s favorite donkey with a royal palace in the background.,"
 The Royal Carriages Museum 
",Artifact
"
 Mummy of a Man
","https://egymonuments.gov.eg/media/6465/cap103.jpg?crop=0,0.017507185785210246,0,0&cropmode=percentage&width=645&height=423&rnd=132581519540000000","The linen bandages are wrapped in an elaborate pattern consisting of rhomboid coffers. This style emerged in the Roman Period, when the art of bandaging mummies reached its peak. The head of the mummy is covered with a gilded funerary mask made of cartonnage (a mixture of linen, glue, and plaster). A winged sun disk, symbol of rebirth, adorns the forehead. The eyes and eyebrows are inlaid.","
 Cairo International Airport Museum - Terminal 3
",Artifact
"
 Bronze Mirror
","https://egymonuments.gov.eg/media/6475/cap171.jpg?crop=0.0000000000000001263187085796,0.089343333333333344,0,0.37256131782945723&cropmode=percentage&width=645&height=423&rnd=132581519540000000","A round mirror made of bronze, the face is polished, and the back is decorated with human and animal motifs inside small symmetrical circles, in addition to other decorations of intertwining plant branches and delicate rosettes. The mirror has a handle of the same type of metal, delimited by projections.
Both Egypt in the Mamluk period and Iran in the Mughal and Timurid periods knew the manufacture of metal mirrors as an important decorative tool that was used by princes and sultans. The decorative elements varied between human, animal, floral and inscriptions.","
 Cairo International Airport Museum - Terminal 3
",Artifact
"
 Marble Bust of Arsinoe III
","https://egymonuments.gov.eg/media/6476/cap521.jpg?center=0.3639705882352941,0.497737556561086&mode=crop&width=645&height=423&rnd=132581519530000000","A royal portrait represents Arsinoe III, sister and wife of Ptolemy IV Philopator, showing the melon-frizur hairstyle, which was particular to Aphrodite and then very common with Ptolemaic queens. The bust format suggests its insertion into a statue-body carved in other material, perhaps from a royal Ptolemaic cult edifice. Many Ptolemaic kings honored the gods of Tell Basta, and even dedicated “Bubasteion"" Temple of goddess Bastet in Alexandria.","
 Cairo International Airport Museum - Terminal 3
",Artifact
"
 Palette in the form of an Antelope
","https://egymonuments.gov.eg/media/6479/cap351.jpg?center=0.35714285714285715,0.53846153846153844&mode=crop&width=645&height=423&rnd=132581519530000000","Stone palettes were used since Egypt’s Predynastic Period to grind and mix pigments used as cosmetics and body paint, or to paint ceramics. Over time, heavily decorated and purely ceremonial palettes began to be made as well, the most famous being the Narmer Palette. This palette here takes the shape of an antelope. One of its horns is broken off.","
 Cairo International Airport Museum - Terminal 3
",Artifact
"
 Stela of Iretweru with Osiris in a naos
","https://egymonuments.gov.eg/media/6480/cap261.jpg?crop=0.0498658608343555,0.21827212494833437,0.052548644147245575,0.17971238589835911&cropmode=percentage&width=645&height=423&rnd=132581519530000000","This round-topped stela was made to look like a naos containing the image of the god Osiris. Each of the jambs of the naos is inscribed with the offering formula in the name of the god Osiris.  The area contained within the semi-circular top of the stela is decorated with a scene that is deeply symbolic of sunrise. The scarab was a symbol of the sun god at dawn, who was called Khepri. On either side of the rising sun disk is a baboon. The chattering of baboons at sunrise was interpreted by the ancient Egyptians as them rejoicing at the sun god’s glorious rebirth. The overall composition is furthermore is laid out to give the shape of the hieroglyph used in the writing of the word “horizon”.","
 Cairo International Airport Museum - Terminal 3
",Artifact
"
 Icon of Saint George
","https://egymonuments.gov.eg/media/6481/cap241.jpg?crop=0,0.14418125643666324,0,0.18041817354441589&cropmode=percentage&width=645&height=423&rnd=132581519530000000","In Coptic art, the theme of military saints is often repeated and illustrated in different forms. It signifiesfaith, courage, and persistence and is a symbol of the triumph of good over evil., attached to it separately. St. George, wearing military garments and riding his white horse,. With his cross-lance, he is slaying the dragon,","
 Cairo International Airport Museum - Terminal 3
",Artifact
"
 Granite statue of King Thutmose III
","https://egymonuments.gov.eg/media/6484/koooooo1.jpg?center=0.183206106870229,0.46285714285714286&mode=crop&width=645&height=423&rnd=132831862610000000",Granite statue of King Thutmose III,"
 National Museum of Egyptian Civilization(NMEC)
",Artifact
"
 Senndjem Sarcophagus
",https://egymonuments.gov.eg/media/6485/mu3c443.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132581519530000000,Senndjem Sarcophagus from his tomb in Deir al-Madina,"
 National Museum of Egyptian Civilization(NMEC)
",Artifact
"
 Coffin of King Ramses II
","https://egymonuments.gov.eg/media/6486/33-3.jpg?crop=0.20283910138306963,0.11721707927513147,0.22308797017428053,0.13076839291828685&cropmode=percentage&width=645&height=423&rnd=132518994530000000",Coffin of King Ramses II,"
 National Museum of Egyptian Civilization(NMEC)
",Artifact
"
 Canopic jars of a man called Ipi
","https://egymonuments.gov.eg/media/6487/cap391.jpg?crop=0.15137614678899083,0.28253349065311789,0.16055045871559634,0.24371518847108056&cropmode=percentage&width=645&height=423&rnd=132581519530000000","Canopic jars were used by the Ancient Egyptians during the mummification process to store and preserve the viscera of the deceased for the afterlife. The Canopic jars were four in number, each for the safekeeping of particular human organs: the stomach, intestines, lungs, and liver, all of which, it was believed, would be needed in the afterlife. In the begging, the lids of these jars were flat then they were human-headed to resemble the deceased. Since the 18th dynasty these lids took the form of four deities known as “Four Sons of Horus” and the viscera were placed under their protection. The ape-headed “Hapi” protects the lungs, the human-headed “Imsety” preserves the liver, the jackal-headed “Duamutef” guards the stomach and the falcon-headed “Qebehsenuef” guards the intestines.","
 Cairo International Airport Museum - Terminal 3
",Artifact
"
 The Library(Bayt Amna bint salim).
",https://egymonuments.gov.eg/media/6489/%D8%A8%D9%8A%D8%AA-%D8%A2%D9%85%D9%86%D8%A9-%D8%A8%D9%86%D8%AA-%D8%B3%D8%A7%D9%84%D9%85-%D8%A7%D9%84%D9%85%D9%83%D8%AA%D8%A8%D8%A9.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132581519530000000,"The library contains books, a number of painted panels, a showcase with a number of antiques, a table and chairs.","
 Gayer Anderson Museum
",Artifact
"
 Gold Dinar Coin
","https://egymonuments.gov.eg/media/6492/cap431.jpg?crop=0,0.16726591760299628,0,0.19165752112185336&cropmode=percentage&width=645&height=423&rnd=132581519530000000","On the obverse of the dinar is the name of the Mamluk Sultan Baybars and his title ""Qasim is the Commander of the Faithful."" Below it an illustration of a lion, representing the ruler. On the reverse is written ""in the name of God, there is no god but Allah, Muhammad is the Messenger of Allah."" Initially, Muslims used coins minted by the Sassanids and Byzantines. The Umayyad Caliph Abd al-Malik ibn Marwan coined the first dinar bearing Arabic writing in the year 77. The currency hence prevalent in Muslim empires were dinars, dirhams, and copper coins.","
 Cairo International Airport Museum - Terminal 3
",Artifact
"
 Chinese Hall (Bayt Amna bint salim)
",https://egymonuments.gov.eg/media/6499/dsc_8923.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132581519530000000,"The hall contains the most beautiful pieces of Chinese-style furniture, including chairs, table, paintings, and a wooden ceiling decorated with geometric and floral patterns.","
 Gayer Anderson Museum
",Artifact
"
 Nejim Ankh coffin
",https://upload.wikimedia.org/wikipedia/commons/7/75/Day_5_-_Coffin_of_Nekht-ankh_%288157262322%29.jpg,Nejim Ankh coffin made of Cartonage covered with gold foil recovered from the Metropolitan Museum from the Ptolemaic period,"
 National Museum of Egyptian Civilization(NMEC)
",Artifact
"
 Haramlek (Winter Hall-Bayt al-Kritliyya)
",https://egymonuments.gov.eg/media/6521/10-womens-hall-haramlik.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132581519520000000,"It is the private residence for women and contains many wall cabinets made of decorated wood and the restaurant, pieces of wooden furniture, metal antiques, chandeliers, metal incense burners and lighting paths.","
 Gayer Anderson Museum
",Artifact
"
 Winged Isis Statue
","https://egymonuments.gov.eg/media/6591/%D8%AA%D9%85%D8%AB%D8%A7%D9%84-%D8%A7%D9%8A%D8%B2%D9%8A%D8%B3-%D8%A7%D9%84%D9%85%D8%AC%D9%86%D8%AD-%D8%B9%D8%B5%D8%B1-%D9%8A%D9%88%D9%86%D8%A7%D9%86%D9%8A-%D8%B1%D9%88%D9%85%D8%A7%D9%86%D9%8A-copy.jpg?crop=0,0.13574905354245537,0,0&cropmode=percentage&width=645&height=423&rnd=132581519520000000","A statue of the winged goddess Isis in the shape of a woman whose head is crowned with the Hathoric crown (the sun disk between the cow horns), on a base of uraei. In the ancient Egyptian religious belief, Isis, along with her sister Nephthys, transformed into kites while searching for the body of her deceased husband Osiris. It was also in this form that they brought him back to life. For this reason, Isis was revered as a protector of the dead in her winged form that can be seen here.","
 Cairo International Airport Museum - Terminal 3
",Artifact
"
 Al-Sabeel Hall(Bayt al-Kritliyya).
",https://egymonuments.gov.eg/media/6605/gayer-anderson-museum-05182020_155953.jpg?anchor=center&mode=crop&width=645&height=423&rnd=132581519520000000,It contained pottery and metal artifacts mythological dishes.,Cairo,Artifact
"
 Indian Hall(Bayt al-Kritliyya).
","https://egymonuments.gov.eg/media/6656/gayer-anderson-museum-05182020_163215.jpg?center=0.60526315789473684,0.48148148148148145&mode=crop&width=645&height=423&rnd=132549247940000000","Contains a table, some Indian style chairs and some decorative boxes.","
 Gayer Anderson Museum
",Artifact
"
 Khedivial Cairo
","https://egymonuments.gov.eg/media/6746/1612173756942edit.jpg?center=0.26506024096385544,0.502262443438914&mode=crop&width=645&height=423&rnd=132581519520000000","Paris of the East
After a long period of decline, Egypt, especially Cairo, witnessed a new era when Muhammad Ali Pasha, the founder of modern Egypt, started his rule in 1805. He shortly began extensive development projects throughout the country. Muhammad Ali’s efforts established the foundations for his grandson, Khedive Ismail (c. 1863-1879), to initiate his own urban development projects. His visit to the “ Paris World Exhibition” in 1867 was one of city’s greatest milestones. Just as Georges-Eugène Haussmann was hired to develop Paris, Khedive Ismail charged Ali Pasha Mubarak with the task of executing a new urban plan for Cairo. Ali Pasha Mubarak himself had received an education in France, and was appointed Minister of Public Works, overseeing Cairo’s urban development. The inauguration of Suez Canal in 1869 was a pivotal stage in Cairo’s development. The old city was left intact, while a new westernized city was developed in parallel to the west, encircling the old one from the north. The “new” city was developed and equipped with spacious squares, bridges, gardens, and lavish palaces. One of its most famous buildings was the khedival Opera, which was a smaller model of Milan’s “Teatro alla Scala”. The city also contained the largest national library in the region. With the turn of the century, Cairo underwent such a transformation as to reflect diverse architectural traditions, bringing together the expertise of French, Italian, German, and Egyptian engineers.","
 Egypt’s Capitals Museum ( ECM )
",Artifact
